candidate_id,map_id,map_name,monster_name,max_hp,window_count,experience_counts,item_counts,item_drop_windows,item_observed_rates,reward_indices,source,status
5-graywolf-15,5,云隐村口_1,山林狼兽,15,2,0x2,肉x2;兽牙x1,肉x2;兽牙x1,肉=2/2;兽牙=1/2,20260517_043413_010_conn_0005#107|192,20260517_043413_010_conn_0005,candidate
7-sandwolf-15,7,卧佛谷_1,砂狼兽,15,1,0x1,兽牙x1;毛皮x1,兽牙x1;毛皮x1,兽牙=1/1;毛皮=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#22244,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
8-sandstonespider-45,8,卧佛谷_2,砂岩蜘蛛,45,1,0x1,虫壳x1,虫壳x1,虫壳=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#22282,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
9-forestspider-45,9,云隐村口_2,山林蜘蛛,45,1,0x1,丝x1;虫壳x1,丝x1;虫壳x1,丝=1/1;虫壳=1/1,20260517_184742_475_conn_0002#400,20260517_184742_475_conn_0002,candidate
10-frog-15,10,涧庭村口,猴蛙,15,8,0x2;12x1;14x5,肉x4;黏液x6;丝x1;兽骨x2;兽血x2;L小喇叭x1,肉x4;黏液x6;丝x1;兽骨x2;兽血x2;L小喇叭x1,肉=4/8;黏液=6/8;丝=1/8;兽骨=2/8;兽血=2/8;L小喇叭=1/8,20260522_222531_099_conn_0002#213|258|426|491|875|1542|1879;20260523_210149_461_conn_0002#205,20260522_222531_099_conn_0002;20260523_210149_461_conn_0002,candidate
11-toad-15,11,涧庭道_1,蟾蜍,15,8,0x1;12x4;14x3,黏液x7;兽血x2;丝x2;肉x2;兽骨x2;L小喇叭x2,黏液x7;兽血x2;丝x2;肉x2;兽骨x2;L小喇叭x2,黏液=7/8;兽血=2/8;丝=2/8;肉=2/8;兽骨=2/8;L小喇叭=2/8,20260522_222531_099_conn_0002#915|969|1002|1171|1446|1476|1507;20260523_210149_461_conn_0002#241,20260522_222531_099_conn_0002;20260523_210149_461_conn_0002,candidate
12-frog-15,12,涧庭道_2,猴蛙,15,1,0x1,L小喇叭x1;黏液x1;丝x1,L小喇叭x1;黏液x1;丝x1,L小喇叭=1/1;黏液=1/1;丝=1/1,20260523_210149_461_conn_0002#444,20260523_210149_461_conn_0002,candidate
15-swordbird-112,15,云隐山道_3,刺鸟,112,4,0x4,羽x3;肉x1;喙x2,羽x3;肉x1;喙x2,羽=3/4;肉=1/4;喙=2/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#214|251|296|1153,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
16-swordbird-112,16,云隐山道_4,刺鸟,112,1,0x1,羽x1,羽x1,羽=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#1460,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
17-jdby-155,17,云隐山道_5,尖刀暴牙,155,4,0x4,兽牙x4;石块x2;头骨x4,兽牙x3;石块x2;头骨x4,兽牙=3/4;石块=2/4;头骨=4/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#367|434|479|1565,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
18-baimagicrock-570,18,飞仙崖,白咒石怪,570,7,0x7,石块x6;碎铁矿x4;L小喇叭x1;废渣x4,石块x5;碎铁矿x4;L小喇叭x1;废渣x3,石块=5/7;碎铁矿=4/7;L小喇叭=1/7;废渣=3/7,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#2740|2829|3016|3143|3253|3327|5032,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
18-baimagicrock-632,18,飞仙崖,白咒石怪,632,4,0x4,废渣x3;石块x2;碎铁矿x3;L小喇叭x1,废渣x3;石块x2;碎铁矿x3;L小喇叭x1,废渣=3/4;石块=2/4;碎铁矿=3/4;L小喇叭=1/4,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#2275|2397|2456|2520,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
18-baimagicrock-745,18,飞仙崖,白咒石怪,745,3,0x3,废渣x3;石块x2;碎铁矿x1,废渣x3;石块x2;碎铁矿x1,废渣=3/3;石块=2/3;碎铁矿=1/3,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#2673|5121|5171,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
18-bluemagicrock-560,18,飞仙崖,蓝咒石怪,560,3,0x3,碎铁矿x1;石块x1;废渣x1,碎铁矿x1;石块x1;废渣x1,碎铁矿=1/3;石块=1/3;废渣=1/3,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#1723|1764|1849,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
18-bluemagicrock-573,18,飞仙崖,蓝咒石怪,573,1,0x1,石块x1;碎铁矿x1,石块x1;碎铁矿x1,石块=1/1;碎铁矿=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#2037,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin,candidate
