map_id,source_monster_handle,exp_delta,items,window_count,item_counts,item_drop_windows,item_observed_rates,source,status
5,,0,肉x1;兽牙x1,2,肉x2;兽牙x1,肉x2;兽牙x1,肉=2/2;兽牙=1/2,20260517_043413_010_conn_0005,confirmed
49,,610,铜钱x8;盗贼的首级x1;L小喇叭x1;红方巾x1;毛皮x1,9,铜钱x60;盗贼的首级x4;L小喇叭x2;红方巾x2;毛皮x1,铜钱x8;盗贼的首级x4;L小喇叭x2;红方巾x2;毛皮x1,铜钱=8/9;盗贼的首级=4/9;L小喇叭=2/9;红方巾=2/9;毛皮=1/9,20260524_113450_799_conn_0002#reward178,confirmed
131,8128205778897212,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
131,8130205778898758,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
131,8132205778899676,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1656205827185847,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1658205827186196,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1660205827187303,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1662205827187552,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
132,1664205827188995,0,毒囊x1;黏液x1;竹x1,3,毒囊x2;黏液x2;竹x1,毒囊x2;黏液x2;竹x1,毒囊=2/3;黏液=2/3;竹=1/3,20260531_124707_399_conn_0002#reward-candidate-127-kongfupanda,confirmed
