map_id,encounter_handles,weight,source
4,7089932810872715,7,capture_dedup_s2c
5,7069963681398983,7,capture_dedup_s2c
11,5391460605264959,15,capture_dedup_s2c
34,6118595074170142,17,capture_dedup_s2c
34,9649595110235663,8,capture_dedup_s2c
35,7209595313846187,3,capture_dedup_s2c
36,6483598180513553,123,capture_dedup_s2c
36,6093598288385864,111,capture_dedup_s2c
36,6093598288385864;6483598180513553,103,capture_dedup_s2c
36,6483598180513553;6483598180513553,65,capture_dedup_s2c
36,6093598288385864;6093598288385864,51,capture_dedup_s2c
37,4531543951685973,44,capture_dedup_s2c
39,3309595043810827,124,capture_dedup_s2c
39,7153595193374620,111,capture_dedup_s2c
40,1068595020770482,4392,capture_dedup_s2c
40,6132760366794317,4379,capture_dedup_s2c
41,4022545119904439,4,capture_dedup_s2c
43,3795545244778453,1,capture_dedup_s2c
44,8028545299002561,13,capture_dedup_s2c
48,3450545326166866,49,capture_dedup_s2c
49,1914555684754474;3784555592010429,14,capture_dedup_s2c
49,3784555592010429,10,capture_dedup_s2c
49,1914555684754474,7,capture_dedup_s2c
49,1914555684754474;1914555684754474,6,capture_dedup_s2c
49,3784555592010429;3784555592010429,4,capture_dedup_s2c
50,1946596194721884,27,capture_dedup_s2c
50,3720596218402838,23,capture_dedup_s2c
50,3720596218402838;1946596194721884,21,capture_dedup_s2c
50,1946596194721884;1946596194721884,7,capture_dedup_s2c
50,3720596218402838;3720596218402838,6,capture_dedup_s2c
51,4241545370938745,18,capture_dedup_s2c
51,4241545370938745;4241545370938745;capture-51-lilghost-lv18,14,capture_dedup_s2c
51,4241545370938745;capture-51-lilghost-lv18,13,capture_dedup_s2c
51,capture-51-lilghost-lv18,12,capture_dedup_s2c
51,4241545370938745;capture-51-lilghost-lv18;capture-51-lilghost-lv18,11,capture_dedup_s2c
51,4241545370938745;4241545370938745,9,capture_dedup_s2c
51,capture-51-lilghost-lv18;capture-51-lilghost-lv18,6,capture_dedup_s2c
51,capture-51-lilghost-lv18;capture-51-lilghost-lv18;capture-51-lilghost-lv18,6,capture_dedup_s2c
51,4241545370938745;4241545370938745;4241545370938745,5,capture_dedup_s2c
51,capture-51-bigswordwolf-lv21;4241545370938745;4241545370938745;4241545370938745,3,capture_dedup_s2c
52,7014979944725157,218,capture_dedup_s2c
52,4241545370938745;7014979944725157,208,capture_dedup_s2c
52,4241545370938745,187,capture_dedup_s2c
52,4241545370938745;4241545370938745,121,capture_dedup_s2c
52,7014979944725157;7014979944725157,102,capture_dedup_s2c
52,1478600550966619;4241545370938745;4241545370938745;4241545370938745,68,capture_dedup_s2c
56,1879687900196574;2510687873023475,41,capture_dedup_s2c
56,1879687900196574,37,capture_dedup_s2c
56,2510687873023475,34,capture_dedup_s2c
56,1879687900196574;1879687900196574,21,capture_dedup_s2c
56,2510687873023475;2510687873023475,13,capture_dedup_s2c
57,3495688635515392,14,capture_dedup_s2c
57,3495688635515392;4807748897740720,7,capture_dedup_s2c
57,4807748897740720,5,capture_dedup_s2c
57,3495688635515392;3495688635515392,4,capture_dedup_s2c
57,4807748897740720;4807748897740720,2,capture_dedup_s2c
58,2466748997740364;6050764649850402,3,capture_dedup_s2c
58,2466748997740364;2466748997740364,1,capture_dedup_s2c
58,6050764649850402,1,capture_dedup_s2c
58,6050764649850402;6050764649850402,1,capture_dedup_s2c
59,6910749059116478,21,capture_dedup_s2c
59,3372749147172679;3372749147172679,15,capture_dedup_s2c
59,3372749147172679,13,capture_dedup_s2c
59,3372749147172679;6910749059116478,7,capture_dedup_s2c
59,6910749059116478;6910749059116478,7,capture_dedup_s2c
60,4388749304285760,43,capture_dedup_s2c
60,4388749304285760;4388749304285760,28,capture_dedup_s2c
60,1019749509430681,20,capture_dedup_s2c
60,4388749304285760;1019749509430681,16,capture_dedup_s2c
60,1019749509430681;1019749509430681,5,capture_dedup_s2c
61,4255855522129221;4255855522129221;8794277136639545,28,capture_dedup_s2c
61,4255855522129221;8794277136639545,28,capture_dedup_s2c
61,4255855522129221;8794277136639545;8794277136639545,24,capture_dedup_s2c
61,8794277136639545;8794277136639545,20,capture_dedup_s2c
61,4255855522129221;4255855522129221,18,capture_dedup_s2c
61,4255855522129221;4255855522129221;4255855522129221,11,capture_dedup_s2c
61,8794277136639545;8794277136639545;8794277136639545,11,capture_dedup_s2c
62,6230749623881500,213,capture_dedup_s2c
62,6230749623881500;6230749623881500,195,capture_dedup_s2c
63,3620750641104472;8413750350934133,90,capture_dedup_s2c
63,3620750641104472;3620750641104472;8413750350934133,84,capture_dedup_s2c
63,3620750641104472;8413750350934133;8413750350934133,75,capture_dedup_s2c
63,3620750641104472;3620750641104472,64,capture_dedup_s2c
63,8413750350934133;8413750350934133,56,capture_dedup_s2c
63,8413750350934133;8413750350934133;8413750350934133,29,capture_dedup_s2c
63,3620750641104472;3620750641104472;3620750641104472,25,capture_dedup_s2c
84,6807541628986490,6,capture_dedup_s2c
85,8881541656023182,2,capture_dedup_s2c
85,capture-85-bamboomouse-lv3,1,capture_dedup_s2c
86,1200541669444892,20,capture_dedup_s2c
87,4857541734860164,1,capture_dedup_s2c
88,6668541757519206,2,capture_dedup_s2c
88,6668541757519206;6668541757519206,1,capture_dedup_s2c
90,capture-90-bambooboy-lv7,1,capture_dedup_s2c
90,8848541914382828;8848541914382828,1,capture_dedup_s2c
97,capture-97-jumpboo-lv6,3,capture_dedup_s2c
97,capture-97-jumpboo-lv6;capture-97-jumpboo-lv6;capture-97-purplecentipede-lv12,2,capture_dedup_s2c
97,8100462475820589,1,capture_dedup_s2c
172,1040767153512470;1040767153512470;1040767153512470,1,capture_dedup_s2c
172,1040767153512470;1040767153512470;4253767046366640,1,capture_dedup_s2c
172,1040767153512470;4253767046366640,1,capture_dedup_s2c
173,2500770180184588;2500770180184588,304,capture_dedup_s2c
173,2500770180184588;2500770180184588;2500770180184588,301,capture_dedup_s2c
174,capture-174-drughornets-lv28;capture-174-drughornets-lv28,1,capture_dedup_s2c
174,capture-174-drughornets-lv28;3741766722935500,1,capture_dedup_s2c
