transfer_type,transfer_key,map_id,map_name,landing_x,landing_y,source
mapbox,1,1,云隐村,1000,600,woc_mapbox_default
mapbox,4,4,云隐村口,1000,600,woc_mapbox_default
mapbox,5,5,云隐村口_1,1000,450,woc_mapbox_mapxy
mapbox,9,9,云隐村口_2,1000,450,woc_mapbox_mapxy
mapbox,13,13,云隐山道_1,1000,600,woc_mapbox_default
mapbox,14,14,云隐山道_2,1000,600,woc_mapbox_default
mapbox,15,15,云隐山道_3,1000,300,woc_mapbox_mapxy
mapbox,16,16,云隐山道_4,1000,300,woc_mapbox_mapxy
mapbox,17,17,云隐山道_5,500,400,woc_mapbox_mapxy
mapbox,18,18,飞仙崖,1000,600,woc_mapbox_default
mapbox,19,19,树海_1,1000,600,woc_mapbox_default
mapbox,20,20,树海_2,1000,600,woc_mapbox_default
mapbox,21,21,树海_3,1000,600,woc_mapbox_default
mapbox,22,22,树海_4,1000,600,woc_mapbox_default
mapbox,23,23,树海_5,1000,600,woc_mapbox_default
mapbox,24,24,树海_6,1000,600,woc_mapbox_default
mapbox,25,25,树海_7,1000,600,woc_mapbox_default
mapbox,30,30,树洞,500,550,woc_mapbox_mapxy
mapbox,26,26,树海_8,1000,600,woc_mapbox_default
mapbox,28,28,树海_10,1000,600,woc_mapbox_default
mapbox,27,27,树海_9,1000,600,woc_mapbox_default
mapbox,29,29,树海_11,1000,600,woc_mapbox_default
mapbox,32,32,树海_13,1000,600,woc_mapbox_default
mapbox,3,3,涧庭村,2000,500,woc_mapbox_mapxy
mapbox,10,10,涧庭村口,1000,600,woc_mapbox_default
mapbox,11,11,涧庭道_1,1000,600,woc_mapbox_default
mapbox,12,12,涧庭道_2,1000,450,woc_mapbox_mapxy
mapbox,84,84,竹林_1,1000,600,woc_mapbox_default
mapbox,85,85,竹林_2,1000,600,woc_mapbox_default
mapbox,86,86,竹林_3,1000,600,woc_mapbox_default
mapbox,87,87,竹林_4,1000,600,woc_mapbox_default
mapbox,89,89,竹林_6,1000,600,woc_mapbox_default
mapbox,88,88,竹林_5,1000,600,woc_mapbox_default
mapbox,90,90,竹林_7,1000,600,woc_mapbox_default
mapbox,91,91,竹林_8,1000,600,woc_mapbox_default
mapbox,92,92,竹林_9,1000,600,woc_mapbox_default
mapbox,97,97,竹林_10,1000,600,woc_mapbox_default
mapbox,98,98,竹林_11,1000,600,woc_mapbox_default
mapbox,99,99,竹林_12,1000,600,woc_mapbox_default
mapbox,100,100,竹林_13,1000,600,woc_mapbox_default
mapbox,101,101,竹林_14,500,550,woc_mapbox_mapxy
mapbox,106,106,竹林_15,1000,600,woc_mapbox_default
mapbox,107,107,竹林_16,1000,600,woc_mapbox_default
mapbox,123,123,涧庭山道_1,1000,600,woc_mapbox_default
mapbox,124,124,涧庭山道_2,1000,450,woc_mapbox_mapxy
mapbox,125,125,涧庭山道_3,1000,450,woc_mapbox_mapxy
mapbox,126,126,涧庭山道_4,1000,600,woc_mapbox_default
mapbox,127,127,观瀑台,1000,600,woc_mapbox_default
mapbox,2,2,大佛村,1000,600,woc_mapbox_default
mapbox,6,6,大佛村口,1000,600,woc_mapbox_default
mapbox,7,7,卧佛谷_1,1000,600,woc_mapbox_default
