map_id,handle,source_query,sprite_name,width,height,spawn_x,spawn_y,target_map_id,target_spawn_x,target_spawn_y,protocol,answer_handle
1,transp_4,transp/flag2.swf,flag2,158,258,3210,530,4,175,380,CrossRole,goto
2,transp_6,transp/flag2.swf,flag2,158,258,3000,500,6,130,450,CrossRole,goto
3,transp_10,transp/flag2.swf,flag2,158,258,3566,522,10,165,540,CrossRole,goto
4,transp_1,transp/flag2.swf,flag2,158,258,90,300,1,3125,530,CrossRole,goto
4,transp_5,transp/flag2.swf,flag2,158,258,2908,570,5,160,419,CrossRole,goto
5,transp_4,transp/flag2.swf,flag2,158,258,75,419,4,2823,570,CrossRole,goto
5,transp_9,transp/flag2.swf,flag2,158,258,2827,518,9,160,512,CrossRole,goto
6,transp_116,transp/flag2.swf,flag2,158,258,1213,300,116,1000,600,CrossRole,goto
6,transp_2,transp/flag2.swf,flag2,158,258,45,450,2,2915,500,CrossRole,goto
6,transp_7,transp/flag2.swf,flag2,158,258,2950,490,7,119,425,CrossRole,goto
7,transp_6,transp/flag2.swf,flag2,158,258,34,425,6,2865,490,CrossRole,goto
7,transp_8,transp/flag2.swf,flag2,158,258,2950,490,8,159,470,CrossRole,goto
8,transp_108,transp/flag2.swf,flag2,158,258,2950,490,108,129,550,CrossRole,goto
8,transp_7,transp/flag2.swf,flag2,158,258,74,470,7,2865,490,CrossRole,goto
9,transp_13,transp/flag2.swf,flag2,158,258,1436,210,13,165,560,CrossRole,goto
9,transp_19,transp/flag2.swf,flag2,158,258,2920,480,19,152,524,CrossRole,goto
9,transp_5,transp/flag2.swf,flag2,158,258,75,512,5,2742,518,CrossRole,goto
10,transp_11,transp/flag2.swf,flag2,158,258,2720,532,11,175,520,CrossRole,goto
10,transp_3,transp/flag2.swf,flag2,158,258,80,540,3,3481,522,CrossRole,goto
11,transp_10,transp/flag2.swf,flag2,158,258,90,520,10,2635,532,CrossRole,goto
