"attribute_id","display_name","role_physique_field","role_state_field","battle_cell_field","item_meta_code","kind","scope","status","evidence","notes"
"current_hp","气力","","hp","hp","","resource","runtime","confirmed","session.RoleState.HP + battle.CellInfoPush.HP","当前气力/生命值"
"current_mp","精力","","mp","mp","","resource","runtime","confirmed","session.RoleState.MP + battle.CellInfoPush.MP","当前精力/法力值"
"max_hp","气力上限","maxHp","","maxHp","5","resource","persistent+battle","confirmed","session.RolePhysique.MaxHP + item description &5@","等级/体质/装备共同影响"
"max_mp","精力上限","maxMp","","maxMp","6","resource","persistent+battle","confirmed","session.RolePhysique.MaxMP + item description &6@","等级/智力/装备共同影响"
"speed","速度","","speed","speed","","turn_order","persistent+battle","confirmed","session.RoleState.Speed + battle.CellInfoPush.Speed","当前按等级给 130/140"
"phy_atk","物理攻击","phyAtk","","attack","1","combat","persistent+battle","confirmed","session.RolePhysique.PhyAtk + item description &1@ + battle.CellInfoPush.Attack","多数物理技能和状态 tick 的来源基准"
"mgc_atk","魔法攻击","mgcAtk","","","2","combat","persistent","partial","session.RolePhysique.MgcAtk + item description &2@","当前 battle.CellInfoPush 尚无独立魔攻字段"
"phy_def","物理防御","phyDef","","defense","3","combat","persistent+battle","confirmed","session.RolePhysique.PhyDef + item description &3@ + battle.CellInfoPush.Defense","物理伤害防御字段"
"mgc_def","魔法防御","mgcDef","","mgcDef","4","combat","persistent+battle","confirmed","session.RolePhysique.MgcDef + item description &4@ + battle.CellInfoPush.MgcDefense","魔法/中毒防御修正字段"
"hit","命中","hit","","hit","9","combat","persistent+battle","confirmed","session.RolePhysique.Hit + item description &9@ + battle.CellInfoPush.Hit","闪避判定使用"
"dodge","回避","dog","","dog","10","combat","persistent+battle","confirmed","session.RolePhysique.Dog + item description &10@ + battle.CellInfoPush.Dog","原协议/代码字段名为 dog"
"crit","暴击","fat","","fat","11","combat","persistent+battle","confirmed","session.RolePhysique.Fat + item description &11@ + battle.CellInfoPush.Fat","原协议/代码字段名为 fat"
"skill_use","技能使用","","","","","control","battle","confirmed","BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md + runtime seal handling","封印等控制效果使用"
"turn_action","出手行为","","","","","control","battle","confirmed","BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md + runtime skip/confusion handling","麻痹/眩晕/混乱等控制效果使用"
