map_id,source_monster_handle,exp_delta,items,window_count,item_counts,item_drop_windows,item_observed_rates,source,status
5,,0,肉x1;兽牙x1,2,肉x2;兽牙x1,肉x2;兽牙x1,肉=2/2;兽牙=1/2,20260517_043413_010_conn_0005,confirmed
49,,610,铜钱x8;盗贼的首级x1;L小喇叭x1;红方巾x1;毛皮x1,9,铜钱x60;盗贼的首级x4;L小喇叭x2;红方巾x2;毛皮x1,铜钱x8;盗贼的首级x4;L小喇叭x2;红方巾x2;毛皮x1,铜钱=8/9;盗贼的首级=4/9;L小喇叭=2/9;红方巾=2/9;毛皮=1/9,20260524_113450_799_conn_0002#reward178,confirmed
49,3784555592010429,610,L小喇叭x1;铜钱x6;剔骨刀x1;红方巾x1;盗贼的首级x1;毛皮x1;盗贼布衣x1;盗贼护臂x1,20,L小喇叭x3;铜钱x95;剔骨刀x1;红方巾x3;盗贼的首级x3;毛皮x4;盗贼布衣x1;盗贼护臂x1,L小喇叭x3;铜钱x17;剔骨刀x1;红方巾x3;盗贼的首级x3;毛皮x4;盗贼布衣x1;盗贼护臂x1,L小喇叭=3/20;铜钱=17/20;剔骨刀=1/20;红方巾=3/20;盗贼的首级=3/20;毛皮=4/20;盗贼布衣=1/20;盗贼护臂=1/20,instance2.staging/20260616_215819_960_conn_0002/server-to-client-0001.bin;20260524_113450_799_conn_0002;20260531_124707_399_session_23556/20260531_124713_924_conn_0002/server-to-client-0001.bin;20260612_211741_424_session_38832/20260612_211756_199_conn_0002/server-to-client-0001.bin#reward-candidate-49-robber-452,confirmed
64,8216674186649650,0,碎铁矿x1;石块x1,2,碎铁矿x1;石块x1,碎铁矿x1;石块x1,碎铁矿=1/2;石块=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#64-bluemagicrock-560,confirmed
64,8218674186650741,0,碎铁矿x1;石块x1,2,碎铁矿x1;石块x1,碎铁矿x1;石块x1,碎铁矿=1/2;石块=1/2,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#64-bluemagicrock-560,confirmed
65,4710674219611654,0,废渣x1,1,废渣x1,废渣x1,废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#65-bluemagicrock-560,confirmed
65,4730674219612608,0,废渣x1,1,废渣x1,废渣x1,废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#65-bluemagicrock-560,confirmed
66,2579674249044327,0,石块x1;碎铁矿x1,1,石块x1;碎铁矿x1,石块x1;碎铁矿x1,石块=1/1;碎铁矿=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#66-bluemagicrock-573,confirmed
66,2581674249044878,0,石块x1;碎铁矿x1,1,石块x1;碎铁矿x1,石块x1;碎铁矿x1,石块=1/1;碎铁矿=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#66-bluemagicrock-573,confirmed
66,2583674249045842,0,废渣x1,1,废渣x1,废渣x1,废渣=1/1,20260605_230911_564_session_21960/20260605_230922_544_conn_0002/server-to-client-0001.bin#66-bluemagicrock-586,confirmed
