"source_link_id","source_type","source_id","source_label","source_action_label","trigger","target","buff_id","chance_percent","rounds","status","evidence","notes"
"skill-kuang-bao-hotblood","skill","skill-kuang-bao","狂爆","w8/kb","on_cast","self","hotblood","100","3","confirmed","runtime CommandKuangBao + BuffInfo 热血","战士自 buff"
"skill-li-shi-gun-shu-fighting-spirit","skill","skill-li-shi-gun-shu","力释棍术","w11/releasePower","on_cast","self","fighting-spirit","100","5","confirmed","runtime CommandLiShiGunShu + BuffInfo 斗志","棍系自 buff"
"skill-ji-feng-ci-slow","skill","skill-ji-feng-ci","疾风刺","w3/windCut","on_hit","enemy","slow","92","3","confirmed","runtime sourceBattleSkillProfile + BuffInfo 迟钝 samples","闪避不挂"
"skill-tou-du-poison","skill","skill-tou-du","投毒","w3/drugAtk","on_hit","enemy","poison","80","4","confirmed","runtime sourceBattleSkillProfile + BuffInfo 中毒 samples","需要毒药消耗的协议路径另行维护"
"skill-xue-qie-external-injury","skill","skill-xue-qie","血切","w8/cutBlood","on_hit","enemy","external-injury","80","4","partial","runtime sourceBattleSkillProfile + BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md","血切来源已实现；公式修正项仍未完全闭环"
"equipment-feiyu-dagger-internal-injury","equipment","绯雨匕首","绯雨匕首","equipment:inner-injury","on_hit","enemy","internal-injury","1","3","confirmed","BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md + runtime sourceEquipmentInnerInjuryEffect","装备命中触发内伤；不是强力飞镖来源"
"equipment-fumogun-seal","equipment","伏魔棍","伏魔棍","equipment:seal","on_hit","enemy","seal","1","3","confirmed","BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md + runtime sourceEquipmentSealEffect","装备命中触发封印"
"monster-drughornets-palsy","monster_skill","monstermap/drughornets.swf:palsyAtk","毒蜂/蜂刺","palsyAtk","on_hit","enemy","paralysis","100","2","confirmed","BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md + runtime TestPalsy","毒蜂是否选择蜂刺另有 AI 概率"
"monster-bomepig-stun","monster_skill","monstermap/bomepig.swf:pigDush","爆骨猪/野蛮冲撞","pigDush","on_hit","enemy","stun","5","2","confirmed","BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md + runtime stun tests","触发点是怪物出手命中玩家"
"monster-crystalrock-stun","monster_skill","monstermap/crystalrock.swf:rockAtk","晶石怪/眩晕来源","rockAtk","on_hit","enemy","stun","5","2","confirmed","BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md + runtime stun tests","触发点是怪物出手命中玩家"
"monster-hflady-confusion","monster_skill","monstermap/hflady.swf:delude","黄风寨夫人/魅惑术","delude","on_hit","enemy","confusion","100","2","confirmed","黄风寨夫人 delude raw samples + runtime CommandEnemyDelude","技能选择概率另行由怪物 AI 控制"
"monster-robotawl-armor-break","monster_skill","monstermap/robotawl.swf:roundatk","机木锥兵/轮转刺伤","roundatk","on_hit","enemy","armor-break","70","3","partial","2026-06-23 robotawl roundatk BuffInfo closure","轮转刺伤选择概率约 5%；命中后状态 roll 约 70%"
"monster-blackshadow-external-injury","monster_skill","monstermap/blackshadow.swf:pieceAttack","黑影/撕裂","pieceAttack","on_hit","enemy","external-injury","","5","partial","狮虎窟 pieceAttack clean tick samples","分怪百分比由 runtime 近似实现；不是统一 25%-30%"
"monster-chiluking-external-injury","monster_skill","monstermap/chiluking.swf:pieceAttack","蚩颅王/撕裂","pieceAttack","on_hit","enemy","external-injury","","5","partial","狮虎窟 pieceAttack clean tick samples","分怪百分比由 runtime 近似实现；不是统一 25%-30%"
