"effect_id","buff_id","attribute_id","operation","value_min","value_max","value_unit","basis_attribute_id","tick_timing","stack_rule","status","evidence","notes"
"hotblood-phy-atk","hotblood","phy_atk","battle_multiplier","200","200","percent","self_current","","replace","confirmed","runtime.baseBattleDamage hasKuangBao doubles actor attack","狂爆热血期间攻击按 2 倍参与伤害公式"
"hotblood-phy-def","hotblood","phy_def","effective_zero","0","0","absolute","self_current","","replace","confirmed","runtime.effectiveBattleDefense hasKuangBao target defense becomes 0","热血同时让自身被攻击时有效物防归零"
"fighting-spirit-phy-atk","fighting-spirit","phy_atk","percent_add","15","15","percent","target_current","","replace","confirmed","applyFightingSpiritStatusEffect + BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md","力释棍术挂斗志提升物攻 5 回合"
"slow-hit","slow","hit","percent_sub","50","50","percent","target_current","","replace","confirmed","applySlownessStatusEffect + BuffInfo 迟钝 samples","疾风刺命中后降低命中"
"slow-dodge","slow","dodge","percent_sub","50","50","percent","target_current","","replace","confirmed","applySlownessStatusEffect + BuffInfo 迟钝 samples","疾风刺命中后降低回避"
"armor-break-phy-def","armor-break","phy_def","percent_sub_source","10","10","percent","phy_atk","","replace","partial","robotawl roundatk BuffInfo samples + applyArmorBreakStatusEffect","机木锥兵轮转刺伤按来源物攻约 10% 降低物防；强贯式来源未闭环"
"poison-phy-def","poison","phy_def","percent_sub","15","15","percent","target_current","","replace","confirmed","applyPoisonStatusEffect + 投毒 BuffInfo samples","中毒降低目标物防"
"poison-mgc-def","poison","mgc_def","percent_sub","15","15","percent","target_current","","replace","confirmed","applyPoisonStatusEffect + 投毒 BuffInfo samples","中毒降低目标魔防"
"poison-tick","poison","current_hp","tick_damage_percent_source","20","25","percent","phy_atk","turn_start","refresh","confirmed","resolvePoisonStatusAction + BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md","中毒回合开始按来源物攻扣气力"
"external-injury-tick","external-injury","current_hp","tick_damage_percent_source","25","30","percent","phy_atk","turn_start","refresh","partial","血切 profile + 狮虎窟 pieceAttack captured approximation","血切为 25%-30%；狮虎窟撕裂另有分怪近似比例"
"internal-injury-phy-atk","internal-injury","phy_atk","percent_sub","10","15","percent","target_current","","replace","confirmed","equipment inner injury text + runtime applyEquipmentInnerInjuryOnHit","绯雨匕首命中触发内伤降低物理攻击"
"internal-injury-mgc-atk","internal-injury","mgc_atk","percent_sub","10","15","percent","target_current","","replace","partial","BuffInfo text confirms magic attack reduction; battle cell lacks MgcAtk","原服描述含魔攻降低；当前战斗模型未完整承载独立魔攻"
"paralysis-skip","paralysis","turn_action","skip_turn","1","1","flag","","turn_start","refresh","confirmed","毒蜂 palsyAtk samples + resolveStatusStartActions","麻痹回合开始播放 battleStand 并跳过出手"
"stun-skip","stun","turn_action","skip_turn_yun","1","1","flag","","turn_start","refresh","confirmed","bomepig/crystalrock stun samples + yun branch","眩晕回合开始播放 yun/battleStand 控制动作并跳过出手"
"confusion-auto-attack","confusion","turn_action","force_normal_attack_random_target","1","1","flag","","turn_start","refresh","confirmed","黄风寨夫人 delude samples + PendingConfusion tests","混乱回合由服务端自动续推随机普通攻击"
"seal-disable-skill","seal","skill_use","disable_skill","1","1","flag","","command_select","replace","confirmed","伏魔棍 equipment samples + PendingSkillSeal handling","封印期间不能使用技能但可普通攻击/防御/蓄魂等"
