"equipment_name","source_key","source_value","evidence_status"
"八极法冠","h","26","packet_confirmed"
"八极法靴","se","3","packet_confirmed"
"八极法衣","c","6","packet_confirmed"
"八极法杖","w10","21","packet_confirmed"
"八极护肩","a","3","packet_confirmed"
"八极护腿","p","6","packet_confirmed"
"八极护腕","wr","4","packet_confirmed"
"八极护腰","b","4","packet_confirmed"
"布鞋","se","1","packet_confirmed"
"蚩颅王护肩","a","29","packet_confirmed"
"翠带护腰","b","32","packet_confirmed"
"刀客布衣","c","30","packet_confirmed"
"盗贼布衣","c","34","packet_confirmed"
"盗贼的鞋","se","27","packet_confirmed"
"盗贼护臂","wr","24","packet_confirmed"
"盗贼护腿","p","30","packet_confirmed"
"盗贼腰带","b","35","packet_confirmed"
"绯雨匕首","w3","49","packet_confirmed"
"光芒法杖","w10","65","packet_confirmed"
"蛤蟆布衣","c","37","packet_confirmed"
"蛤蟆法袍","c","35","packet_confirmed"
"蛤蟆精护腕","wr","26","packet_confirmed"
"蛤蟆精护腰","b","31","packet_confirmed"
"蛤蟆精战靴","se","29","packet_confirmed"
"寒影护腰","b","22","packet_confirmed"
"寒影锁甲","c","26","packet_confirmed"
"寒影靴","se","19","packet_confirmed"
"呼啸战靴","se","26","packet_confirmed"
"黄风护腕","wr","25","packet_confirmed"
"黄风围巾","h","30","packet_confirmed"
"黄风腰带","b","37","packet_confirmed"
"黄风战靴","se","28","packet_confirmed"
"机木护腿","p","64","packet_confirmed"
"机木护腕","wr","39","packet_confirmed"
"机木护腰","b","39","packet_confirmed"
"极.光芒法杖","w10","65","packet_confirmed"
"蓝布裤","p","1","packet_confirmed"
"蓝布衣","c","1","packet_confirmed"
"蓝晶护肩","a","34","packet_confirmed"
"狼人护肩","a","32","packet_confirmed"
"狼人护腿","p","29","packet_confirmed"
"狼牙棒","w8","33","packet_confirmed"
"雷霆法杖","w10","51","packet_confirmed"
"雷霆冠","h","17","packet_confirmed"
"雷霆护肩","a","15","packet_confirmed"
"流云法杖","w10","58","packet_confirmed"
"流云护肩","a","16","packet_confirmed"
"流云之冠","h","20","packet_confirmed"
"龙颜单肩","a","19","packet_confirmed"
"龙颜护腿","p","22","packet_confirmed"
"龙颜护腕","wr","19","packet_confirmed"
"龙颜护腰","b","21","packet_confirmed"
"蛮力护甲","c","10","packet_confirmed"
"蛮力护腿","p","8","packet_confirmed"
"蛮力护腕","wr","7","packet_confirmed"
"蛮力护腰","b","5","packet_confirmed"
"蛮力肩甲","a","4","packet_confirmed"
"蛮力面甲","h","8","packet_confirmed"
"蛮力战靴","se","4","packet_confirmed"
"蛮族护腿","p","27","packet_confirmed"
"神风护甲","c","17","packet_confirmed"
"神风护肩","a","13","packet_confirmed"
"神风护腿","p","16","packet_confirmed"
"神风护腰","b","14","packet_confirmed"
"神风战靴","se","12","packet_confirmed"
"剔骨刀","w3","34","packet_confirmed"
"天魁","w1","62","packet_confirmed"
"铁斧","w8","5","packet_confirmed"
"威武护肩","a","10","packet_confirmed"
"威武护腿","p","13","packet_confirmed"
"威武护腕","wr","11","packet_confirmed"
"威武面甲","h","12","packet_confirmed"
"威武皮甲","c","14","packet_confirmed"
"威武皮靴","se","10","packet_confirmed"
"威武腰带","b","11","packet_confirmed"
"刎刀","w8","42","packet_confirmed"
"无双护肩","a","14","packet_confirmed"
"无双护腿","p","18","packet_confirmed"
"无双铁腕","wr","15","packet_confirmed"
"无双铁腰带","b","16","packet_confirmed"
"无双头盔","h","16","packet_confirmed"
"牙刺","w3","43","packet_confirmed"
"岩化护腿","p","49","packet_confirmed"
"炎爆护手","wr","21","packet_confirmed"
"炎爆龙鳞甲","c","28","packet_confirmed"
"炎爆之靴","se","21","packet_confirmed"
"央月九影","w8","61","packet_confirmed"
"饮血刀","w8","47","packet_confirmed"
"寨夫人护腕","wr","31","packet_confirmed"
"寨夫人上衣","c","39","packet_confirmed"
"珍元护腿","p","69","packet_confirmed"
"珍元护腕","wr","44","packet_confirmed"
"珍元护腰","b","45","packet_confirmed"
"珍元面甲","h","57","packet_confirmed"
"珍元胸甲","c","67","packet_confirmed"
"L小白马","r","xmj","packet_confirmed"
"蛮力钢剑","w8","40","legacy_capture_contract"
"万相","w1","55","legacy_capture_contract"
"伏魔棍","w11","53","legacy_capture_contract"
"朽木断浪","w11","60","legacy_capture_contract"
"武雷拳套","w5","64","legacy_capture_contract"
"萌兔宝宝","r","mengtubaobao","legacy_capture_contract"
"仙宝葫芦","r","baohulu","legacy_capture_contract"
"狰狞神骑","r","zn","legacy_capture_contract"
