"fashion_name","sex","source_params","evidence_status"
"奥特曼","0","hr=10&f=6&sh=5&ha=5&bo=5&fe=6&l=5","packet_confirmed"
"奥特曼","1","hr=10&f=6&sh=5&ha=5&bo=5&fe=6&l=5","packet_confirmed"
"巴萨队服","0","c=70&se=58&p=72&hr=5","packet_confirmed"
"巴萨队服","1","c=70&se=58&p=72&hr=12","packet_confirmed"
"蝙蝠侠","0","h=73&c=95&se=86&p=98&hr=5","packet_confirmed"
"蝙蝠侠","1","h=73&c=95&se=86&p=98&hr=12","packet_confirmed"
"波斯套装","0","h=46&c=43&se=35&p=45&hr=5","packet_confirmed"
"波斯套装","1","h=46&c=43&se=35&p=45&hr=12","packet_confirmed"
"超人","1","sh=8&ha=9&bo=11&fe=11&l=11","packet_confirmed"
"超时空要塞","1","c=88&se=79&p=91&hr=46","packet_confirmed"
"钢之炼金术师","0","h=79&c=101&se=92&p=104","packet_confirmed"
"钢之炼金术师","1","h=79&c=101&se=92&p=104","packet_confirmed"
"哥特套装","0","h=45&c=42&se=34&p=44&hr=16","packet_confirmed"
"哥特套装","1","h=45&a=33&c=42&wr=35&se=34&p=44&hr=12","packet_confirmed"
"功夫熊猫","0","h=78&c=100&se=91&p=103","packet_confirmed"
"功夫熊猫","1","h=78&c=100&se=91&p=103","packet_confirmed"
"怪物猎人","0","c=2&b=0&se=75&p=2&hr=45","packet_confirmed"
"怪物猎人","1","c=2&b=0&se=75&p=2&hr=45","packet_confirmed"
"灌篮高手","0","c=3&se=76&p=3","packet_confirmed"
"灌篮高手","1","c=3&se=76&p=3","packet_confirmed"
"鬼神童子","0","a=51&c=94&se=85&p=97&hr=51","packet_confirmed"
"鬼神童子","1","a=51&c=94&se=85&p=97&hr=51","packet_confirmed"
"哈利波特","0","c=54&se=43&p=56&hr=21","packet_confirmed"
"哈利波特","1","c=54&se=43&p=56&hr=21","packet_confirmed"
"海贼王套装","0","h=59&c=75&wr=47&se=63&p=77&hr=5","packet_confirmed"
"海贼王套装","1","h=59&c=75&wr=47&se=63&p=77&hr=12","packet_confirmed"
"红色圣诞","0","h=18&c=21&b=18&se=16&p=19&hr=5","packet_confirmed"
"红色圣诞","1","h=18&c=21&b=18&se=16&p=19&hr=12","packet_confirmed"
"狐仙大人","0","c=92&b=61&se=83&p=95&hr=49","packet_confirmed"
"狐仙大人","1","c=92&b=61&se=83&p=95&hr=49","packet_confirmed"
"花仙子套装","0","c=68&se=57&p=70&hr=27","packet_confirmed"
"花仙子套装","1","c=68&se=57&p=70&hr=27","packet_confirmed"
"火影套装","0","c=71&se=59&p=73&hr=28","packet_confirmed"
"火影套装","1","c=71&se=59&p=73&hr=28","packet_confirmed"
"街头霸王套装","0","c=74&wr=46&se=62&p=76&hr=34","packet_confirmed"
"街头霸王套装","1","c=74&wr=46&se=62&p=76&hr=34","packet_confirmed"
"精灵一族","0","a=50&c=93&se=84&p=96&hr=50","packet_confirmed"
"精灵一族","1","a=50&c=93&se=84&p=96&hr=50","packet_confirmed"
"精致礼服","0","c=57&se=46&p=59&hr=23","packet_confirmed"
"精致礼服","1","c=57&se=46&p=59&hr=23","packet_confirmed"
"李洛克","0","c=58&se=47&p=60&hr=24","packet_confirmed"
"李洛克","1","c=58&se=47&p=60&hr=24","packet_confirmed"
"李小龙套装","0","c=18&se=13&p=17&hr=5","packet_confirmed"
"李小龙套装","1","c=18&se=13&p=17&hr=12","packet_confirmed"
"绿色圣诞","0","h=19&c=23&b=18&se=16&p=20&hr=5","packet_confirmed"
"绿色圣诞","1","h=19&c=23&b=18&se=16&p=20&hr=12","packet_confirmed"
"曼联队服","0","c=69&se=58&p=71&hr=5","packet_confirmed"
"曼联队服","1","c=69&se=58&p=71&hr=12","packet_confirmed"
"美少女战士","0","h=80&c=102&se=93&p=105","packet_confirmed"
"美少女战士","1","h=80&c=102&se=93&p=105","packet_confirmed"
"魔人布欧","0","g=3&c=60&se=48&p=62&hr=23","packet_confirmed"
"魔人布欧","1","g=3&c=60&se=48&p=62&hr=23","packet_confirmed"
"叛逆的鲁鲁修","0","c=90&se=81&p=93&hr=47","packet_confirmed"
"叛逆的鲁鲁修","1","c=90&se=81&p=93&hr=47","packet_confirmed"
"普通礼服","0","c=61&se=49&p=63&hr=5","packet_confirmed"
"普通礼服","1","c=61&se=49&p=63&hr=12","packet_confirmed"
"汽车人","0","hr=10&f=7&sh=6&ha=6&bo=6&fe=7&l=6","packet_confirmed"
"汽车人","1","hr=10&f=7&sh=6&ha=6&bo=6&fe=7&l=6","packet_confirmed"
"钱多多","0","c=49&se=39&p=51&hr=18","packet_confirmed"
"钱多多","1","c=49&se=39&p=51&hr=18","packet_confirmed"
"驱魔少年","0","c=96&se=87&p=99&hr=5","packet_confirmed"
"驱魔少年","1","c=96&se=87&p=99&hr=12","packet_confirmed"
"拳皇套装","0","c=76&wr=48&se=64&p=78&hr=41","packet_confirmed"
"拳皇套装","1","c=76&wr=48&se=64&p=78&hr=41","packet_confirmed"
"犬夜叉","0","c=73&wr=45&se=61&p=75&hr=29","packet_confirmed"
"犬夜叉","1","c=73&wr=45&se=61&p=75&hr=29","packet_confirmed"
"忍者神龟","0","h=77&c=99&se=90&p=102&hr=5","packet_confirmed"
"忍者神龟","1","h=77&c=99&se=90&p=102&hr=12","packet_confirmed"
"圣斗士","0","h=81&c=103&se=94&p=106&hr=5","packet_confirmed"
"圣斗士","1","h=81&c=103&se=94&p=106&hr=12","packet_confirmed"
"盛夏缤纷","0","c=52&se=41&p=55&hr=19","packet_confirmed"
"盛夏缤纷","1","c=52&se=41&p=55&hr=19","packet_confirmed"
"盛夏潮爆","0","c=53&se=42&p=54&hr=5","packet_confirmed"
"盛夏潮爆","1","c=53&se=42&p=54&hr=20","packet_confirmed"
"盛夏清凉","0","c=55&se=44&p=57&hr=5","packet_confirmed"
"盛夏清凉","1","c=55&wr=38&se=44&p=57&hr=22","packet_confirmed"
"侍魂套装","0","c=77&wr=50&se=65&p=79&hr=42","packet_confirmed"
"侍魂套装","1","c=77&wr=50&se=65&p=79&hr=42","packet_confirmed"
"死神套装","1","c=41&b=34&wr=34&se=33&p=42&hr=12","packet_confirmed"
"通灵王","0","h=82&c=104&se=95&p=107","packet_confirmed"
"通灵王","1","h=82&c=104&se=95&p=107","packet_confirmed"
"兔年呈祥","1","h=69&c=85&b=57&se=74&p=87","packet_confirmed"
"网球王子","0","h=58&c=72&se=60&p=74&hr=5","packet_confirmed"
"网球王子","1","h=58&c=72&se=60&p=74&hr=12","packet_confirmed"
"小白兔套装","0","hr=26&ha=8&bo=8&fe=9&l=8","packet_confirmed"
"小白兔套装","1","hr=26&ha=8&bo=8&fe=9&l=8","packet_confirmed"
"学生装","0","h=47&c=44&se=36&p=46&hr=5","packet_confirmed"
"学生装","1","h=47&c=44&se=36&p=46&hr=12","packet_confirmed"
"妖精的尾巴","0","c=0&wr=0&se=73&p=0&hr=44","packet_confirmed"
"妖精的尾巴","1","c=0&wr=0&se=73&p=0&hr=44","packet_confirmed"
"银魂","0","c=91&se=81&p=93&hr=48","packet_confirmed"
"银魂","1","c=91&se=81&p=93&hr=48","packet_confirmed"
"越狱兔","1","h=75&c=97&se=88&p=100&hr=12","packet_confirmed"
"蜘蛛侠","0","h=76&c=98&se=89&p=101&hr=5","packet_confirmed"
"蜘蛛侠","1","h=76&c=98&se=89&p=101&hr=12","packet_confirmed"
"中国风","0","c=45&se=37&p=47&hr=15","packet_confirmed"
"中国风","1","c=45&se=37&p=47&hr=15","packet_confirmed"
"中秋套装","0","c=81&wr=54&se=69&p=83&hr=43","packet_confirmed"
"中秋套装","1","c=81&wr=54&se=69&p=83&hr=43","packet_confirmed"
"BAD","0","c=47&b=38&se=38&p=48&hr=17","packet_confirmed"
"BAD","1","c=47&b=38&se=38&p=48&hr=17","packet_confirmed"
"HIPHOP套装","0","h=66&c=84&wr=57&se=72&p=86","packet_confirmed"
"HIPHOP套装","1","h=66&c=84&wr=57&se=72&p=86","packet_confirmed"
"SMOOTH(白)","0","h=50&c=51&se=40&p=53&hr=17","packet_confirmed"
"SMOOTH(白)","1","h=50&c=51&se=40&p=53&hr=17","packet_confirmed"
"SMOOTH(黑)","0","h=49&c=50&se=40&p=52&hr=17","packet_confirmed"
"SMOOTH(黑)","1","h=49&c=50&se=40&p=52&hr=17","packet_confirmed"
