"status","confidence","icon","name","item_type","category","max_stack","asset_family","price","description","evidence_sources","notes","quality_color","quality_color_evidence","required_level","required_vocation","required_prestige","required_crime","socket_capacity","phy_atk","mgc_atk","phy_def","mgc_def","max_hp","max_mp","hit","dodge","crit","move","strength","intelligence","agility","constitution","luck","captured_instance_attributes","captured_instance_bonus_attributes","special_effects","refinement_rules","property_parse_status","restore_hp","restore_mp","max_socket_count","captured_socket_count","equipment_attributes","refinement_steps","equipment_effect_text","refinement_parse_status","runtime_availability","captured_metadata","sell_price","equipment_notice","equipment_subtype","flavor_text"
"packet_confirmed","high","821.png","韧苇叶","null","材料","99","sitem_book","","坚韧的角质草叶包含着神力.","packet:reward_markup","草坝奖励原包。","ffffff","captured:D:/yzhgame/WOCClient/tmp/woc-proxy-captures/20260704_150944_635_session_28684/connections/20260704_150951_763_conn_0002/raw/server-to-client-0001.bin","","","","","","","","","","","","","","","","","","","","","","","","","not_equipment","","","","","","","","","","","","","",""
"packet_confirmed","high","815.png","斗草叶","null","材料","99","sitem_book","","边缘锋利的锯齿型草叶.","packet:reward_markup","草坝奖励原包。","ffffff","captured:D:/yzhgame/WOCClient/tmp/woc-proxy-captures/20260704_150944_635_session_28684/connections/20260704_150951_763_conn_0002/raw/server-to-client-0001.bin","","","","","","","","","","","","","","","","","","","","","","","","","not_equipment","","","","","","","","","","","","","",""
"packet_confirmed","high","818.png","魂根","null","材料","99","sitem_book","","受混沌碎玉影响的植物根块.","packet:reward_markup","草坝奖励原包。","5bc46d","captured:D:/yzhgame/WOCClient/tmp/woc-proxy-captures/20260704_150944_635_session_28684/connections/20260704_150951_763_conn_0002/raw/server-to-client-0001.bin","","","","","","","","","","","","","","","","","","","","","","","","","not_equipment","","","","","","","","","","","","","",""
"packet_confirmed","high","816.png","甘兰香","null","材料","99","","","一种神奇的香料.","packet:reward_markup","草坝奖励原包。","5bc46d","captured:D:/yzhgame/WOCClient/tmp/woc-proxy-captures/20260704_010621_716_session_22236/connections/20260704_010628_059_conn_0002/raw/server-to-client-0001.bin","","","","","","","","","","","","","","","","","","","","","","","","","not_equipment","","","","","","","","","","","","","",""
"packet_confirmed","high","785.png","画皮寨通行证","null","消耗品","99","sitem_book","","可以进入画皮寨的通行证.","packet:reward_markup","草坝奖励原包。","00ccff","captured:D:/yzhgame/WOCClient/tmp/woc-proxy-captures/20260517_184742_475_conn_0002/server-to-client.bin","","","","","","","","","","","","","","","","","","","","","","","","","not_equipment","","","","","","","","","","","","","",""
"packet_confirmed","high","0.png","馒头","own","消耗品","99","","1","又白又香的馒头","packet:role_item+packet:sale","","ffffff","source_default_white","","","","","","","","","","","","","","","","","","","","","","","","","not_equipment","","","","","","","","","","","","","",""
"packet_confirmed","high","2.png","奥义秘诀","own","宝物","99","sitem_book","1","传说该秘诀泄漏自擎天山天宫术院，书内介绍了各职业无比强大的秘奥义技能招式。","packet:sale","","c156c7","captured:D:/yzhgame/WOCClient/tmp/woc-proxy-captures/20260527_221927_589_session_32860/connections/20260527_221946_203_conn_0002/raw/server-to-client-0001.bin","","","","","","","","","","","","","","","","","","","","","","","","","not_equipment","","","","","","","","","","","","","",""
"packet_confirmed","high","3.png","蓝布裤","equip","护具·腿","1","sitem_ezhj","0","f_i_蓝布裤^ffffff&23@凿孔上限 9 格&24@护具·腿&25@1&21@1&3@4&27@sitem_ezhj&19@精炼潜质:
[精炼+1] 每升一级 物理防御+2&103@0&104@0&105@&107@&108@0","packet:role_item+packet:sale","","ffffff","captured:D:/yzhgame/WOCClient/tmp/woc-proxy-captures/20260516_195530_704_conn_0002/server-to-client.bin","1","","","","","","","4","","","","","","","","","","","","","","","","精炼潜质:
[精炼+1] 每升一级 物理防御+2","template_static","","","9","","[{""code"":""3"",""name"":""物理防御"",""value"":""4"",""unit"":""flat"",""capturedBonus"":""""}]","[{""level"":1,""syntax"":""classic"",""kind"":""per_level"",""effects"":[{""code"":""3"",""name"":""物理防御"",""amount"":2,""unit"":""flat""}],""sourceText"":""[精炼+1] 每升一级 物理防御+2""}]","","parsed","","{""profiles"":[""desktop"",""web""],""contexts"":[""role_item"",""sale""],""icons"":[""3.png""],""equipmentSlots"":[""5""],""refinementLevels"":[0],""itemLevels"":[1],""descriptionVariants"":3,""exampleSource"":{""file"":""D:/yzhgame/WOCClient/tmp/woc-proxy-captures/20260516_195530_704_conn_0002/server-to-client.bin"",""sha256"":""305bb0d0247e9b6cf203f2855032ca0b77ae86d13049fbcd32d59599201d6924"",""packet"":80,""command"":50014},""iconConflict"":false}","0","凿孔上限 9 格","",""
"packet_confirmed","high","29.png","铁斧","equip","武器·单刀系","1","sitem_jhj","0","f_i_铁斧^ffffff&23@凿孔上限 9 格&23@凿孔上限 9 格&24@武器·单刀系&25@1&21@1&1@26&27@sitem_jhj&19@精炼潜质:
[精炼+1] 每升一级 物理攻击+2&103@0&104@0&105@&107@&108@0","packet:role_item+packet:sale","","ffffff","source_default_white","1","","","","","26","","","","","","","","","","","","","","","","","","精炼潜质:
[精炼+1] 每升一级 物理攻击+2","template_static","","","9","","[{""code"":""1"",""name"":""物理攻击"",""value"":""26"",""unit"":""flat"",""capturedBonus"":""""}]","[{""level"":1,""syntax"":""classic"",""kind"":""per_level"",""effects"":[{""code"":""1"",""name"":""物理攻击"",""amount"":2,""unit"":""flat""}],""sourceText"":""[精炼+1] 每升一级 物理攻击+2""}]","","parsed","","{""profiles"":[""desktop"",""web""],""contexts"":[""role_item"",""sale""],""icons"":[""29.png""],""equipmentSlots"":[""3""],""refinementLevels"":[0,1,2],""itemLevels"":[1],""descriptionVariants"":11,""exampleSource"":{""file"":""D:/yzhgame/WOCClient/tmp/woc-proxy-captures/20260516_195530_704_conn_0002/server-to-client.bin"",""sha256"":""305bb0d0247e9b6cf203f2855032ca0b77ae86d13049fbcd32d59599201d6924"",""packet"":78,""command"":50014},""iconConflict"":false}","0","凿孔上限 9 格
凿孔上限 9 格","",""
"inferred","inferred_low","30.png","未知单剑类武器候选","","武器","","","","","inferred:icon_sequence_visual","29-53 为低级武器连续区间；图标视觉为剑，当前抓包未出现名称。","ffffff","source_default_white","","","","","","","","","","","","","","","","","","","","","","","","","not_equipment","","","","","","","","","","","","","",""
"inferred","inferred_low","31.png","未知拳套/爪类武器候选","","武器","","","","","inferred:icon_sequence_visual","29-53 为低级武器连续区间；图标视觉为拳套/爪，当前抓包未出现名称。","ffffff","source_default_white","","","","","","","","","","","","","","","","","","","","","","","","","not_equipment","","","","","","","","","","","","","",""
