"monster_skill_id","command_id","monster_name","display_url","action_name","source_type","source_action_label","target","runtime_chance_percent","damage_multiplier","mp_cost","defense_type","status_buff_id","status_chance_percent","status_rounds","status_tick_min_percent","status_tick_max_percent","evidence_status","evidence","notes"
"monster-robber-slidecut","enemy-slide-cut","盗贼","monstermap/robber.swf","滑行斩","oneE","slideCut","enemy","20","1","10","physical","","","","","","partial",".planning/BATTLE_COMBAT_FORMULA_RESTORE_PLAN.md + runtime TestBattleEnemySlideCutUsesCapturedLabelAndMPCost","action label and MP are captured; AI chance is current sample approximation"
"monster-bigswordwolf-shadecut","enemy-shade-cut","单刀狼人","monstermap/bigswordwolf.swf","影刃","oneE","shadeCut","enemy","30","1","40","physical","","","","","","partial",".planning/BATTLE_COMBAT_FORMULA_RESTORE_PLAN.md + runtime TestBattleEnemyShadeCutUsesCapturedLabelAndMPCost","action label and MP are captured; AI chance is current runtime approximation"
"monster-cracktoad-helix-atk","enemy-helix-atk","蛤蟆精","monstermap/cracktoad.swf","螺旋锤杀","oneE","helixAtk","enemy","23","1.32","10","physical","","","","","","partial",".planning/SHUILIANDONG_VISIBLE_MONSTER_PLAN.md + runtime TestBattleEnemyHelixAtkUsesCapturedLabelAndMPCost","damage and MP are capture-backed; AI chance is action-count approximation"
"monster-drughornets-palsy-atk","enemy-palsy-atk","毒蜂","monstermap/drughornets.swf","蜂刺","oneE","palsyAtk","enemy","40","1","0","physical","paralysis","100","2","","","partial",".planning/BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md + effect-source-table.csv","麻痹 status is confirmed; AI chance remains runtime approximation"
"monster-largerock-fire-power","enemy-fire-power","巨岩魔","monstermap/largerock.swf","赤焰击","all","firePower","enemy","60","0.835","10","direct","","","","","","partial",".planning/FEIXIANDONG_PHASED_DEVELOPMENT_PLAN.md + runtime Feixiandong tests","damage and MP are capture-backed; AI chance is current runtime approximation"
"monster-largerock-roll-atk","enemy-roll-atk","巨岩魔","monstermap/largerock.swf","滑行连击","oneE","rollAttack","enemy","45","1.49","10","physical","","","","","","partial",".planning/FEIXIANDONG_PHASED_DEVELOPMENT_PLAN.md + runtime RollAttack tests","damage and MP are capture-backed; AI chance is current runtime approximation"
"monster-magicrockman-dead-light","enemy-dead-light","岩化魔人","monstermap/magicrockman.swf","死亡射线","all","deadLight","enemy","35","1.142","10","direct","","","","","","partial",".planning/FEIXIANDONG_PHASED_DEVELOPMENT_PLAN.md + runtime DeadLight tests","damage and MP are capture-backed; AI chance is current runtime approximation"
"monster-magicrockman-double-hit","enemy-double-hit","岩化魔人","monstermap/magicrockman.swf","双锤打","oneE","doubleHit","enemy","45","1.825","10","physical","","","","","","partial",".planning/FEIXIANDONG_PHASED_DEVELOPMENT_PLAN.md + runtime DoubleHit tests","damage and MP are capture-backed; AI chance is current runtime approximation"
"monster-incantationshaman-rock-rain","enemy-rock-rain","咒巫师","monstermap/incantationshaman.swf","落石","all","rockRain","enemy","10","1","10","magic","","","","","","partial",".planning/HUANGFENGZHAI_VISIBLE_MONSTER_PLAN.md + runtime TestHuangfengIncantationShamanRockRainUsesCapturedAllTargetSkill","target type and MP are captured; damage path is current implementation; AI chance is sample approximation"
"monster-hfscastellan-dark-moon","enemy-dark-moon-cut","黄风二寨主","monstermap/hfscastellan.swf","暗月斩","oneE","darkMoonCut","enemy","25","1","10","physical","","","","","","partial",".planning/HUANGFENGZHAI_VISIBLE_MONSTER_PLAN.md + runtime darkMoon tests","action label and MP are captured; damage multiplier is not fully closed"
"monster-hfcastellan-earth-shock","enemy-earth-shock-atk","黄风大寨主","monstermap/hfcastellan.swf","裂震击","all","earthShockAtk","enemy","10","1","10","physical","","","","","","partial",".planning/HUANGFENGZHAI_VISIBLE_MONSTER_PLAN.md + runtime earthShock tests","target type and MP are captured; damage multiplier is not fully closed"
"monster-hflady-delude","enemy-delude","黄风寨夫人","monstermap/hflady.swf","魅惑术","oneE","delude","enemy","33","0","10","status","confusion","100","2","","","partial",".planning/BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md + HUANGFENGZHAI_VISIBLE_MONSTER_PLAN.md","action/MP/status chain confirmed; AI chance is 3/9 sample approximation"
"monster-blackshadow-piece-attack","enemy-piece-attack","黑影/黑影队长","monstermap/blackshadow.swf","撕裂","oneE","pieceAttack","enemy","7","1.4","10","physical","external-injury","100","5","6","9","partial",".planning/SHIHUKU_PHASED_DEVELOPMENT_PLAN.md + tmp/shihuku-preaction-skill-multiplier-summary.csv + shihuku-wound-percent-reverse-grouped.csv","action/status/MP confirmed; damage multiplier is capture-backed approximation from pre-action refresh and same-actor normal attack calibration"
"monster-chiluking-piece-attack","enemy-piece-attack","蚩颅王","monstermap/chiluking.swf","撕裂","oneE","pieceAttack","enemy","11","1.4","10","physical","external-injury","100","5","7","10","partial",".planning/SHIHUKU_PHASED_DEVELOPMENT_PLAN.md + tmp/shihuku-preaction-skill-multiplier-summary.csv + shihuku-wound-percent-reverse-grouped.csv","action/status/MP confirmed; damage multiplier capture-backed; wound 7%~10% recalibrated after Attack 236->342 (old 10%~15% was against mis-sampled 236)"
"monster-whorllion-lionroars","enemy-lion-roars","盘狮怪/盘狮队长","monstermap/whorllion.swf","狮吼","oneE","lionroars","enemy","20","1.26","10","physical","","","","","","partial",".planning/SHIHUKU_PHASED_DEVELOPMENT_PLAN.md + tmp/shihuku-preaction-skill-multiplier-summary.csv","action label/MP confirmed; damage multiplier is capture-backed approximation from pre-action refresh and same-actor normal attack calibration"
"monster-chiluking-goldhit","enemy-gold-hit","蚩颅王","monstermap/chiluking.swf","黄金穿刺","all","goldhit","enemy","19","1.72","10","physical","","","","","","partial",".planning/SHIHUKU_PHASED_DEVELOPMENT_PLAN.md + tmp/shihuku-preaction-skill-multiplier-summary.csv","all-target label/MP confirmed; damage multiplier is capture-backed approximation from pre-action refresh and same-actor normal attack calibration"
"monster-rampage-power","enemy-rampage-power","Boss/点券盗贼/百年虫精/熊鹿","monstermap/largerock.swf|monstermap/magicrockman.swf|monstermap/hfscastellan.swf|monstermap/hfcastellan.swf|monstermap/hflady.swf|monstermap/chiluking.swf|monstermap/militia.swf|monstermap/wocmon.swf|monstermap/beardeer.swf","暴走之力","own","battleStand","self","","0","0","status","rampage-power","100","50","","","partial",".planning/FEIXIANDONG_PHASED_DEVELOPMENT_PLAN.md + SHIHUKU_PHASED_DEVELOPMENT_PLAN.md + runtime rampage tests","display/countdown self action; not treated as attack damage or MP consumption"
"monster-robotawl-round-atk","enemy-round-atk","机木锥兵","monstermap/robotawl.swf","轮转刺伤","oneE","roundatk","enemy","23","1","10","physical","armor-break","70","3","","","partial",".planning/BATTLE_BUFF_STATUS_DEVELOPMENT_PLAN.md + tmp/wuliang-yaozhisen-battle-audit-20260713.json","roundatk action and MP=10 are captured; 23% AI is a local approximation from 51/(51+175), while armor-break chance remains a separate candidate"
"monster-wocmon-chaos-hit","enemy-chaos-hit","百年虫精","monstermap/wocmon.swf","混沌击","oneE","nomalAtk","enemy","46","1","0","magic","","","","","","partial","9 SHA-distinct battle windows: 32 混沌击 / 69 sourceMode=1 nomalAtk attacks (46.38%). Player-applied 诅咒 BuffInfo is excluded; no skills/ path / chaosskyhit.swf / MP cost.","broadcast name only; same animation/damage path as 法术普通攻击; no independent skill IR; AI chance is capture-backed approximation"
