monster_id,source_kind,map_id,map_name,handle,name,display_url,level,vocation,max_hp,max_mp,speed,attack,attack_min,attack_max,sweepspear_attack_min,sweepspear_attack_max,defense,mgc_defense,command_label,damage_defense_type,queue_index_team,queue_index_enemy,encounter_handles,source
wild-210-caoba-glassyx-lv38,wild,210,草坝_4,capture-210-glassyx-lv38,草刺槐,monstermap/glassyx.swf,38,游侠,1530,1034,0,273,,,,,0,91,普通攻击,physical,1,4,,"local half-defense full rerun: cross-target half-defense calibration n=137, resolved p50=273; baseline attack=264; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=91, n=25; local policy, not an original-server Defense claim"
wild-210-caoba-glasszs-lv38,wild,210,草坝_4,capture-210-glasszs-lv38,草须芒,monstermap/glasszs.swf,38,战士,2000,764,0,287,,,,,96,93,普通攻击,physical,1,4,,"local half-defense full rerun: cross-target half-defense calibration n=169, resolved p50=287; baseline attack=277; local policy, not an original-server Attack claim; player normal unit-roll defense p50=96, n=5; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=93, n=32; local policy, not an original-server Defense claim"
wild-216-caoba-glassss-lv40,wild,216,草坝_11,capture-216-glassss-lv40,草球蔓,monstermap/glassss.swf,40,术士,1357,1500,0,291,,,,,54,306,法术普通攻击,magic,1,4,,"local half-defense full rerun: strict normal half-defense n=429, resolved p50=290.500; baseline attack=281; local policy, not an original-server Attack claim; player normal unit-roll defense p50=54, n=25; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=306, n=20; local policy, not an original-server Defense claim"
wild-222-caoba-glassss-lv42,wild,222,草坝_16,capture-222-glassss-lv42,草球蔓,monstermap/glassss.swf,42,术士,1450,1518,0,301,,,,,0,340,法术普通攻击,magic,1,4,,"local half-defense full rerun: cross-target half-defense calibration n=720, resolved p50=300.5; baseline attack=290; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=340, n=430; local policy, not an original-server Defense claim"
wild-4-7089932810872715,wild,4,涧庭村口,7089932810872715,山林蜘蛛,monstermap/forestspider.swf,1,新手,15,9,15,50,,,,,9,0,普通攻击,,0,0,,"local half-defense full rerun: same defense type inherited ratio from wild-84-6807541628986490;wild-97-8100462475820589;wild-86-1200541669444892;wild-88-6668541757519206;wild-87-4857541734860164; baseline attack=48; local policy, not an original-server Attack claim"
wild-5-7069963681398983,wild,5,涧庭道,7069963681398983,山林狼兽,monstermap/graywolf.swf,1,新手,15,9,15,50,,,,,9,0,普通攻击,,1,4,,"local half-defense full rerun: same defense type inherited ratio from wild-84-6807541628986490;wild-97-8100462475820589;wild-86-1200541669444892;wild-88-6668541757519206;wild-87-4857541734860164; baseline attack=48; local policy, not an original-server Attack claim"
wild-11-5391460605264959,wild,11,涧庭道_1,5391460605264959,蟾蜍,monstermap/toad.swf,1,新手,15,9,0,157,,,,,0,0,普通攻击,,1,4,,"local half-defense full rerun: same defense type inherited ratio from wild-84-6807541628986490;wild-97-8100462475820589;wild-86-1200541669444892;wild-88-6668541757519206;wild-87-4857541734860164; baseline attack=151; local policy, not an original-server Attack claim"
wild-34-6118595074170142,wild,34,平原_3,6118595074170142,爆骨猪,monstermap/bomepig.swf,12,战士,260,155,0,127,,,,,0,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=5, resolved p50=126.500; baseline attack=122; local policy, not an original-server Attack claim"
wild-34-9649595110235663,wild,34,平原_3,9649595110235663,牙菇,monstermap/yagu.swf,11,术士,230,190,0,136,,,,,0,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=135.500; baseline attack=131; local policy, not an original-server Attack claim"
wild-35-7209595313846187,wild,35,平原_4,7209595313846187,爆骨猪,monstermap/bomepig.swf,13,战士,295,162,0,95,,,,,0,29,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=21, resolved p50=95.000; baseline attack=92; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=29, n=55; local policy, not an original-server Defense claim"
wild-36-6483598180513553,wild,36,平原_5,6483598180513553,爆骨猪,monstermap/bomepig.swf,13,战士,280,145,0,144,,,,,0,3,普通攻击,physical,1,4,,"local half-defense full rerun: cross-target half-defense calibration n=49, resolved p50=143.75; baseline attack=139; local policy, not an original-server Attack claim; player normal unit-roll defense p50=0, n=40; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=3, n=19; local policy, not an original-server Defense claim"
wild-36-6093598288385864,wild,36,平原_5,6093598288385864,爆骨猪,monstermap/bomepig.swf,13,战士,265,162,0,138,,,,,0,5,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=36, resolved p50=137.500; baseline attack=133; local policy, not an original-server Attack claim; player normal unit-roll defense p50=0, n=63; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=5, n=12; local policy, not an original-server Defense claim"
wild-37-4531543951685973,wild,37,平原_6,4531543951685973,花妖,monstermap/huayao.swf,10,战士,230,150,0,99,,,,,6,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=9, resolved p50=98.500; baseline attack=95; local policy, not an original-server Attack claim; player normal unit-roll defense p50=6, n=34; local policy, not an original-server Defense claim"
wild-39-3309595043810827,wild,39,平原_8,3309595043810827,尖刀暴牙,monstermap/jdby.swf,12,战士,280,130,0,134,,,,,0,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=13, resolved p50=133.500; baseline attack=129; local policy, not an original-server Attack claim"
wild-39-7153595193374620,wild,39,平原_8,7153595193374620,刺鸟,monstermap/swordbird.swf,11,游侠,230,160,0,131,,,,,0,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=13, resolved p50=130.500; baseline attack=126; local policy, not an original-server Attack claim"
wild-40-1068595020770482,wild,40,平原_9,1068595020770482,尖刀暴牙,monstermap/jdby.swf,12,战士,280,130,0,136,,,,,0,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=120, resolved p50=135.500; baseline attack=131; local policy, not an original-server Attack claim; player normal unit-roll defense p50=0, n=589; local policy, not an original-server Defense claim"
wild-40-6132760366794317,wild,40,平原_9,6132760366794317,刺鸟,monstermap/swordbird.swf,11,游侠,230,160,0,133,,,,,0,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=164, resolved p50=132.500; baseline attack=128; local policy, not an original-server Attack claim; player normal unit-roll defense p50=0, n=523; local policy, not an original-server Defense claim"
wild-41-4022545119904439,wild,41,平原_10,4022545119904439,牙菇,monstermap/yagu.swf,10,术士,250,190,0,189,,,,,0,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=1, resolved p50=189.000; baseline attack=183; local policy, not an original-server Attack claim; player normal unit-roll defense p50=0, n=14; local policy, not an original-server Defense claim"
wild-43-3795545244778453,wild,43,平原_12,3795545244778453,刺鸟,monstermap/swordbird.swf,11,游侠,230,160,0,132,,,,,0,0,普通攻击,,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-39-7153595193374620;wild-40-6132760366794317; baseline attack=127; local policy, not an original-server Attack claim"
wild-44-8028545299002561,wild,44,平原_13,8028545299002561,尖刀暴牙,monstermap/jdby.swf,12,战士,250,130,0,127,,,,,2,0,普通攻击,,1,4,,"local half-defense full rerun: same monster family inherited ratio from wild-39-3309595043810827;wild-40-1068595020770482; baseline attack=122; local policy, not an original-server Attack claim; player normal unit-roll defense p50=2, n=7; local policy, not an original-server Defense claim"
wild-48-3450545326166866,wild,48,平原_14,3450545326166866,盗贼,monstermap/robber.swf,14,游侠,330,210,0,142,,,,,121,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=8, resolved p50=142.250; baseline attack=137; local policy, not an original-server Attack claim"
wild-49-1914555684754474,wild,49,平原_15,1914555684754474,盗贼,monstermap/robber.swf,15,游侠,445,194,0,111,,,,,16,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=25, resolved p50=111.000; baseline attack=107; local policy, not an original-server Attack claim; player normal unit-roll defense p50=16, n=6; local policy, not an original-server Defense claim"
wild-49-3784555592010429,wild,49,平原_15,3784555592010429,盗贼,monstermap/robber.swf,16,游侠,452,210,0,119,,,,,22,0,普通攻击,,1,4,,"local half-defense full rerun: strict normal half-defense n=24, resolved p50=118.500; baseline attack=114; local policy, not an original-server Attack claim; player normal unit-roll defense p50=22, n=5; local policy, not an original-server Defense claim"
