"skill_id","kind","label","source_type","action_name","target"
"skill-normal-attack","skill","普通攻击","oneE","普通攻击","enemy"
"skill-mi-zhan","skill","密斩","oneE","密斩","enemy"
"skill-duo-duan-zhan","skill","多段斩","oneE","多段斩","enemy"
"skill-shi-xue-zhan","skill","嗜血斩","oneE","嗜血斩","enemy"
"skill-kuang-bao","skill","狂爆","own","狂爆","self"
"skill-hong-yue-zhan","skill","红月斩","all","红月斩","enemy"
"skill-xue-qie","skill","血切","oneE","血切","enemy"
"skill-pi-shan-gun-fa","skill","劈山棍法","oneE","劈山棍法","enemy"
"skill-ye-cha-gun-fa","skill","夜叉棍法","oneE","夜叉棍法","enemy"
"skill-li-shi-gun-shu","skill","力释棍术","own","力释棍术","self"
"skill-pan-long-gun-fa","skill","盘龙棍法","all","盘龙棍法","enemy"
"skill-duo-duan-ci","skill","多段刺","oneE","多段刺","enemy"
"skill-qiang-li-fei-biao","skill","强力飞镖","oneE","强力飞镖","enemy"
"skill-tou-du","skill","投毒","oneE","投毒","enemy"
"skill-mo-li-tu-ci","skill","魔力突刺","oneE","魔力突刺","enemy"
"skill-ji-feng-ci","skill","疾风刺","oneE","疾风刺","enemy"
"skill-jie-du-shu","skill","解毒术","own","解毒术","self"
"skill-lei-hun-zhan","skill","奥义.雷魂斩","oneE","奥义.雷魂斩","enemy"
"skill-ao-yi-an-sha-zhe","skill","奥义.暗杀者","oneE","奥义.暗杀者","enemy"
"skill-ao-yi-liu-he-gun-fa","skill","奥义.六合棍法","oneE","奥义.六合棍法","enemy"
"skill-qiang-she","skill","强射","oneE","强射","enemy"
"skill-guan-jia-lian-shi","skill","贯甲连矢","oneE","贯甲连矢","enemy"
"skill-bing-jian-su-she","skill","冰箭速射","oneE","冰箭速射","enemy"
"skill-mo-li-su-she","skill","魔力速射","oneE","魔力速射","enemy"
"skill-an-ying-jian","skill","暗影箭","oneE","暗影箭","enemy"
"skill-du-shi","skill","毒矢","oneE","毒矢","enemy"
"skill-yan-shou-shu","skill","炎狩术","oneE","炎狩术","enemy"
"skill-chi-yan-mo-zhou","skill","赤焰魔咒","oneE","赤焰魔咒","enemy"
"skill-lei-ji","skill","雷击","oneE","雷击","enemy"
"skill-lei-bao-zhou","skill","雷爆咒","all","雷爆咒","enemy"
"skill-huo-shen-zhou","skill","火神咒","all","火神咒","enemy"
"skill-shi-yu-shu","skill","石雨术","all","石雨术","enemy"
"skill-lei-long-qiang-xi","skill","雷龙强袭","oneE","雷龙强袭","enemy"
"skill-mo-zhang-shu","skill","魔障术","own","魔障术","self"
"skill-ao-yi-hong-lei-shi","skill","奥义.轰雷矢","oneE","奥义.轰雷矢","enemy"
"skill-taunt","skill","挑衅","all","挑衅","self"
"skill-juan-ye-shi","skill","卷叶式","oneE","卷叶式","enemy"
"skill-qiang-guan-shi","skill","强贯式","oneE","强贯式","enemy"
"skill-ning-shen-shi","skill","凝神式","own","凝神式","self"
"skill-kuang-wu-shi","skill","狂舞式","oneE","狂舞式","enemy"
"skill-qi-yu-shi","skill","气愈式","own","气愈式","self"
"skill-ao-yi-piao-xue","skill","奥义.飘血","oneE","奥义.飘血","enemy"
"skill-fist-double-atk","skill","连击","oneE","连击","enemy"
"skill-fist-pow-hit","skill","重烈","oneE","重烈","enemy"
"skill-fist-influx-gas","skill","气运丹田","own","气运丹田","self"
"skill-fist-break-soul","skill","破魂打","oneE","破魂打","enemy"
"skill-fist-move-shadow","skill","移形换影","own","移形换影","self"
"skill-fist-power-axe-wing","skill","奥义.修罗幻翼拳","oneE","奥义.修罗幻翼拳","enemy"
