quest_id,title,level,type,description,state,routes,quest_state_handle
capture-001,小试牛刀,1,main,"<ml>叶眉让你((去【涧庭村口】消灭1只猴蛙。))
[g]=经验150",<over>击杀 猴蛙 1/1,4940542616468969|3q4d_1|3q4a_1_1;4940542616468969|3q4d_2|3q4a_2_1,
capture-002,消灭猴蛙,2,main,"<ml>涧庭村的((叶眉委托你前往【涧庭村口】消灭2只猴蛙，通过村子右侧的传送门可以到达村口。))完成任务后，再回去找叶眉对话。
[g]=经验500",<over>击杀 猴蛙 2/2,4940542616468969|3q8d_1|3q8a_1_1;4940542616468969|3q8d_2|3q8a_2_1,
capture-003,蟾蜍之患,3,main,"<ml>申公烈让你((去【涧庭道_1】消灭3只蟾蜍))，然后告知涧庭村的熊猫竹生。
[g]=经验1000 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x200",<over>击杀 蟾蜍 3/3,4910542615957836|3q11d_1|3q11a_1_1;4950542616589339|3q11d_2|3q11a_2_1,
capture-004,剿灭竹鼠,3,main,"<ml>熊猫竹生委托你((去【涧庭山道_1】消灭3只竹鼠，然后找涧庭村的铃铛对话。))
    注：按【M】键可以打开地图，查找涧庭山道_1的方位。地图中红框闪烁的位置表示你当前所在的地点。
[g]=经验1100 [i=f_i_铜钱^ffffff&24@材料 消耗品&25@1000&19@1000枚时双击可兑换为银元宝.&20@游戏中的货币,用于流通买卖.&27@sitem_tq&101@163.png&103@0&104@0&105@&107@&108@0]铜钱[/]x300",<over>击杀 竹鼠 3/3,4950542616589339|3q12d_1|3q12a_1_1;4930542616250587|3q12d_2|3q12a_2_1,
capture-005,铃铛的请求,3,main,"<ml>铃铛让你((找涧庭村的【叶眉】交谈。))
[g]=经验300",<over>还未找涧庭村的【叶眉】对话,4930542616250587|3q13d_1|3q13a_1_1;4940542616468969|3q13d_2|3q13a_2_1,
capture-006,消灭蟾蜍,3,main,"<ml>叶眉让你前往【涧庭道_1】找到并消灭3只蟾蜍，之后回去找涧庭村的介象交谈。
[g]=经验1200",<over>击杀 蟾蜍 3/3,4940542616468969|3q14d_1|3q14a_1_1;4960542616750900|3q14d_2|3q14a_2_1,
capture-007,学会密斩,3,main,"<ml>熊猫竹生让你((去找涧庭村的申公烈村长交谈。))
[g]=经验300，((习得【密斩】技能))",<over>还未去和涧庭村的【申公烈】交谈,4950542616589339|3q10gq|3q10gs1;4910542615957836|3q10oq1|3q10os2,
capture-008,收集朽木,4,main,"<ml>火娥娘委托你前往【涧庭村口】的朽木采集点，采集3块朽木。之后将朽木交予涧庭村的熊猫竹生。((采集之前背包里要准备好采集手套，如果没有的话，可以去道具商介象那里购买一些。))
[x]=[i=f_i_朽木&24@材料&25@99&20@一块烂木头，看起来没有什么用处。&27@sitem_wood&101@915.png&103@0&104@0&105@&107@&108@0]朽木[/]x3 
[g]=经验1000",收集 朽木 1/3,4920542616052493|3q18d_1|3q18a_1_1;4950542616589339|3q18d_2|3q18a_2_1,
capture-009,天象异常,4,main,"<ml>将天象异常之事告之涧庭村的熊猫竹生。
[g]=经验300 [i=f_i_L初阶经验卡^00ccff&24@特殊&25@99&19@双击使用。击杀怪物后，将获得双倍经验，效果持续时间为1小时。该物品不能交易。&20@可以获得经验加成的神奇商城道具。&27@sitem_book&101@576.png&103@0&104@0&105@&107@&108@0]L初阶经验卡[/]x1",<over>还未找涧庭村的【熊猫竹生】谈话,4960542616750900|3q15d_1|3q15a_1_1;4950542616589339|3q15d_2|3q15a_2_1,
capture-010,竹生的预测,4,main,"<ml>前往【竹林_1】消灭2只绿甲螳螂。之后回去找涧庭村的熊猫竹生对话。
[g]=经验1300",<over>击杀 绿甲螳螂 2/2,4950542616589339|3q16d_1|3q16a_1_1;4950542616589339|3q16d_2|3q16a_2_1,
capture-011,拜师学技,5,main,"<ml>火娥娘让你去((找涧庭村的申公烈对话。))
[g]=经验1200 [i=f_i_L初阶经验卡^00ccff&24@特殊&25@99&19@双击使用。击杀怪物后，将获得双倍经验，效果持续时间为1小时。该物品不能交易。&20@可以获得经验加成的神奇商城道具。&27@sitem_book&101@576.png&103@0&104@0&105@&107@&108@0]L初阶经验卡[/]x1",<over>还未找涧庭村的【申公烈】对话,4920542616052493|3q26d_1|3q26a_1_1;4910542615957836|3q26d_3|3q26a_3_1,
capture-012,宝物镶嵌,5,main,"<ml>申公烈让你((去找涧庭村的火娥娘了解宝石镶嵌的方法。))
[g]=经验500",<over>还未找涧庭村的【火娥娘】了解宝石镶嵌,4910542615957836|3q27n1d_1|3q27n1a_1_1;4920542616052493|3q27n1d_3|3q27n1a_3_1,
capture-013,高深的技艺,5,main,"<ml>熊猫竹生让你去((找涧庭村的申公烈了解技能。))
[g]=经验500",<over>还未找涧庭村的【申公烈】对话,4950542616589339|3q26n2d_1|3q26n2a_1_1;4910542615957836|3q26n2d_2|3q26n2a_2_1,
capture-014,获得小白马,5,side,"((去和【涧庭村】的介象交谈))。
[g]=经验1000 [i=f_i_银元宝^C156C7&24@材料 消耗品&25@9999&19@双击可兑换为1000铜币&20@游戏中的货币,用于流通买卖&27@sitem_jhj&101@39.png&103@0&104@0&105@&107@&108@0]银元宝[/]x1 [i=f_i_L小白马^00ccff&23@限制装备至【坐骑】格。&24@坐骑&25@1&12@10&19@如果不下线，他会一直陪着你哦~15分钟后再次登录便会消失&20@&2;font color='#ffff00'&3;注:【有时限，禁止交易】&2;/font&3;&27@sitem_pet&101@957.png&103@0&104@0&105@&107@&108@0]L小白马[/]x1",<over>去和【涧庭村】的介象交谈。,4960542616750900|3q8n1d_1|3q8n1a_1_1;4960542616750900|3q8n1d_2|3q8n1a_2_1,
capture-015,了解采集,5,main,"<ml>熊猫竹生让你找到涧庭村的铁匠【火娥娘】学习采集。
[g]=经验400 [i=f_i_普通采集手套^ffffff&24@消耗品&25@999&20@平常的采集手套，带上进行采集得话可以很好的保护双手。&101@856.png&103@0&104@0&105@&107@&108@0]普通采集手套[/]x30",<over>还未找涧庭村的【火娥娘】学习采集,4950542616589339|3q17d_1|3q17a_1_1;4920542616052493|3q17d_3|3q17a_3_1,
capture-016,李猎户的行踪,5,main,"<ml>申公烈让你((去【竹林_3】寻找李猎户的下落，))并和他对话。
[g]=经验1500",<over>还未去【竹林_3】找李猎户对话,4910542615957836|3q25d_1|3q25a_1_1;3550542614056112|3q25d_2|3q25a_2_1,
capture-017,李猎户的行踪【贰】,5,main,"<ml>回【涧庭村】找申公烈谈话，告知他李猎户的下落。
[g]=经验1000",<over>还未去涧庭村找【申公烈】对话,3550542614056112|3q25n1d_1|3q25n1a_1_1;4910542615957836|3q25n1d_2|3q25n1a_2_1,
capture-018,明确副本,5,main,"<ml>介象让你去((找涧庭村的申公烈了解副本))的相关常识。
[g]=经验800 [i=f_i_L包子&24@消耗品&25@99&7@600&20@带馅的包子,看起来非常可口,食用后可恢复些气力.&101@212.png&103@0&104@0&105@&107@&108@0]L包子[/]x5 [i=f_i_L中瓶甘露^5BC46D&24@消耗品&25@99&8@400&20@古有仙人承露,用于长生不老食后祛病延寿,恢复精力.&27@sitem_water&101@697.png&103@0&104@0&105@&107@&108@0]L中瓶甘露[/]x5",<over>还未找涧庭村的【申公烈】了解副本的知识,4960542616750900|3q31n2d_1|3q31n2a_1_1;4910542615957836|3q31n2d_4|3q31n2a_4_1,
capture-019,学习状态,5,main,"<ml>申公烈让你去((找涧庭村的熊猫竹生了解状态。))
[g]=经验500",<over>还未找涧庭村的【熊猫竹生】了解状态,4910542615957836|3q26n1d_1|3q26n1a_1_1;4950542616589339|3q26n1d_2|3q26n1a_2_1,
capture-020,学习组队,5,main,"<ml>申公烈让你去((找涧庭村的介象了解组队的知识。))
[g]=经验500",<over>还未找涧庭村的【介象】谈话,4910542615957836|3q31n1d_1|3q31n1a_1_1;4960542616750900|3q31n1d_3|3q31n1a_3_1,
